Index,Order_Index,Tile_Index,Tile_Size,Loop_Order,Unroll_Factor,Execution_Cycles,Loop_Dependencies_Count
1,1,1,8,i_tij_tjk_tk,2,104374012424,10
2,1,1,8,i_tij_tjk_tk,4,93359723198,10
3,1,1,8,i_tij_tjk_tk,6,88832389196,10
4,1,1,8,i_tij_tjk_tk,8,100711251552,10
5,1,1,8,i_tij_tjk_tk,10,111201207107,10
6,1,1,8,i_tij_tjk_tk,12,111506257935,10
7,1,1,8,i_tij_tjk_tk,14,111119390383,10
8,1,1,8,i_tij_tjk_tk,16,111447864168,10
9,1,1,8,i_tij_tjk_tk,18,111721331706,10
10,1,1,8,i_tij_tjk_tk,20,111382258979,10
11,1,2,16,i_tij_tjk_tk,2,97705578244,10
12,1,2,16,i_tij_tjk_tk,4,92002320247,10
13,1,2,16,i_tij_tjk_tk,6,91300987696,10
14,1,2,16,i_tij_tjk_tk,8,89768539352,10
15,1,2,16,i_tij_tjk_tk,10,91136215995,10
16,1,2,16,i_tij_tjk_tk,12,89064339874,10
17,1,2,16,i_tij_tjk_tk,14,89116437778,10
18,1,2,16,i_tij_tjk_tk,16,100184192728,10
19,1,2,16,i_tij_tjk_tk,18,111263564782,10
20,1,2,16,i_tij_tjk_tk,20,112250465109,10
21,1,3,32,i_tij_tjk_tk,2,97641563450,10
22,1,3,32,i_tij_tjk_tk,4,91380273412,10
23,1,3,32,i_tij_tjk_tk,6,90175782440,10
24,1,3,32,i_tij_tjk_tk,8,89894328633,10
25,1,3,32,i_tij_tjk_tk,10,95384855071,10
26,1,3,32,i_tij_tjk_tk,12,96067738408,10
27,1,3,32,i_tij_tjk_tk,14,88883053383,10
28,1,3,32,i_tij_tjk_tk,16,88139679386,10
29,1,3,32,i_tij_tjk_tk,18,96988770160,10
30,1,3,32,i_tij_tjk_tk,20,96666799606,10
31,1,4,64,i_tij_tjk_tk,2,97524163269,10
32,1,4,64,i_tij_tjk_tk,4,91067541611,10
33,1,4,64,i_tij_tjk_tk,6,89605575802,10
34,1,4,64,i_tij_tjk_tk,8,88891115017,10
35,1,4,64,i_tij_tjk_tk,10,88005313626,10
36,1,4,64,i_tij_tjk_tk,12,87912236644,10
37,1,4,64,i_tij_tjk_tk,14,88506784360,10
38,1,4,64,i_tij_tjk_tk,16,87718897435,10
39,1,4,64,i_tij_tjk_tk,18,88737092403,10
40,1,4,64,i_tij_tjk_tk,20,90696118664,10
41,1,5,128,i_tij_tjk_tk,2,97203954914,10
42,1,5,128,i_tij_tjk_tk,4,91160778014,10
43,1,5,128,i_tij_tjk_tk,6,88639217661,10
44,1,5,128,i_tij_tjk_tk,8,88604668348,10
45,1,5,128,i_tij_tjk_tk,10,88295017672,10
46,1,5,128,i_tij_tjk_tk,12,88301711388,10
47,1,5,128,i_tij_tjk_tk,14,88013080618,10
48,1,5,128,i_tij_tjk_tk,16,88442259068,10
49,1,5,128,i_tij_tjk_tk,18,87705260088,10
50,1,5,128,i_tij_tjk_tk,20,88051946239,10
51,1,6,256,i_tij_tjk_tk,2,97471048025,10
52,1,6,256,i_tij_tjk_tk,4,90866359558,10
53,1,6,256,i_tij_tjk_tk,6,89277554856,10
54,1,6,256,i_tij_tjk_tk,8,88696926825,10
55,1,6,256,i_tij_tjk_tk,10,88157661339,10
56,1,6,256,i_tij_tjk_tk,12,87620506027,10
57,1,6,256,i_tij_tjk_tk,14,88060028135,10
58,1,6,256,i_tij_tjk_tk,16,88938518082,10
59,1,6,256,i_tij_tjk_tk,18,88777689627,10
60,1,6,256,i_tij_tjk_tk,20,88191370590,10
